Date,LP_Value,FD_Value
2017-12-19,1043993.040740869,1042765.1312658954
2017-12-20,1043233.4451962467,1042835.6777491496
2017-12-21,1040783.9224979834,1042906.229005105
2017-12-22,1041961.998938683,1042976.7850340843
2017-12-25,1040911.0665870896,1043047.3458364104
2017-12-26,1041302.490230665,1043117.9114124065
2017-12-27,1040892.5856910122,1043188.4817623954
2017-12-28,1039025.7366066911,1043259.0568866997
2017-12-29,1037158.9743589744,1043329.6367856431
2018-01-01,1036676.2139084279,1043400.2214595483
2018-01-02,1036557.7330123505,1043470.8109087383
2018-01-03,1030975.840328673,1043541.4051335361
2018-01-04,1032022.8803336887,1043612.0041342649
2018-01-05,1030039.4965265793,1043682.607911248
2018-01-08,1029636.8862616763,1043753.2164648082
2018-01-09,1033706.8821308591,1043823.8297952687
2018-01-10,1036939.165279669,1043894.4479029528
2018-01-11,1035305.4724775291,1043965.0707881836
2018-01-12,1031821.5521504607,1044035.6984512844
2018-01-15,1029335.6449150525,1044106.3308925782
2018-01-16,1027257.6092094039,1044176.9681123887
2018-01-17,1025776.8356671972,1044247.6101110389
2018-01-18,1029380.6926452261,1044318.2568888521
2018-01-19,1026202.6976746286,1044388.9084461518
2018-01-22,1025647.0813131883,1044459.5647832608
2018-01-23,1025310.0326844294,1044530.2259005033
2018-01-24,1023705.5169812887,1044600.8917982022
2018-01-25,1017715.7527678516,1044671.562476681
2018-01-26,1019818.9863893174,1044742.237936263
2018-01-29,1016764.8204162582,1044812.9181772716
2018-01-30,1019530.8778373101,1044883.6032000309
2018-01-31,1020825.4890007981,1044954.2930048637
2018-02-01,1020575.8848324327,1045024.9875920939
2018-02-02,1018250.1911317075,1045095.6869620447
2018-02-05,1027543.0613949554,1045166.3911150402
2018-02-06,1028837.6725584434,1045237.1000514036
2018-02-07,1026045.8399665644,1045307.8137714585
2018-02-08,1030516.413090757,1045378.5322755286
2018-02-09,1035759.2241357826,1045449.2555639376
2018-02-12,1033047.454892943,1045519.9836370093
2018-02-13,1029723.7481005578,1045590.7164950671
2018-02-14,1029583.384380231,1045661.4541384351
2018-02-15,1022930.796367208,1045732.1965674367
2018-02-16,1019315.7527678516,1045802.9437823957
2018-02-19,1022110.9872879026,1045873.6957836358
2018-02-20,1023864.529904399,1045944.4525714813
2018-02-21,1027439.1229468244,1046015.2141462557
2018-02-22,1031363.4938308237,1046085.9805082827
2018-02-23,1027937.8408651496,1046156.7516578864
2018-02-26,1028744.4303132343,1046227.5275953907
2018-02-27,1025792.2973500681,1046298.3083211193
2018-02-28,1031952.884464506,1046369.0938353965
2018-03-01,1032234.9808234385,1046439.8841385458
2018-03-02,1030368.2185757216,1046510.6792308914
2018-03-05,1028137.1767735356,1046581.4791127575
2018-03-06,1027581.5604120953,1046652.2837844678
2018-03-07,1027885.5395952772,1046723.0932463467
2018-03-08,1024780.4005355734,1046793.907498718
2018-03-09,1027422.7157956911,1046864.7265419058
2018-03-12,1026510.1141545314,1046935.5503762343
2018-03-13,1023710.9872879026,1047006.3790020277
2018-03-14,1023424.9117457882,1047077.2124196101
2018-03-15,1021601.828309966,1047148.0506293057
2018-03-16,1025788.3589019373,1047218.8936314384
2018-03-19,1028496.1489615948,1047289.7414263329
2018-03-20,1027605.5169812887,1047360.5940143132
2018-03-21,1029191.4649517479,1047431.4513957035
2018-03-22,1024709.6183696237,1047502.3135708283
2018-03-23,1027366.4353426368,1047573.1805400117
2018-03-26,1026861.7920678409,1047644.0523035781
2018-03-27,1022030.3413173512,1047714.9288618522
2018-03-28,1023223.0063075504,1047785.8102151578
2018-03-29,1025253.2971815183,1047856.6963638196
2018-03-30,1024209.6591046746,1047927.5873081619
2018-04-02,1024389.8092903183,1047998.4830485095
2018-04-03,1025356.6122730861,1048069.3835851864
2018-04-04,1024597.1035650681,1048140.2889185174
2018-04-05,1024901.08274825,1048211.1990488267
2018-04-06,1028737.9223352516,1048282.1139764393
2018-04-09,1028743.2704367125,1048353.0337016793
2018-04-10,1025361.2962829331,1048423.9582248715
2018-04-11,1023334.2336639289,1048494.8875463405
2018-04-12,1023215.7527678516,1048565.8216664107
2018-04-13,1023650.8552233216,1048636.760585407
2018-04-16,1025892.4195552211,1048707.7043036541
2018-04-17,1024666.685119445,1048778.6528214763
2018-04-18,1025750.0228250014,1048849.6061391989
2018-04-19,1024589.8500253693,1048920.564257146
2018-04-20,1026423.5428275092,1048991.527175643
2018-04-23,1030486.2444219422,1049062.494895014
2018-04-24,1036348.2004546591,1049133.467415584
2018-04-25,1033876.7949321463,1049204.4447376782
2018-04-26,1038565.9357890204,1049275.4268616214
2018-04-27,1038687.8186132697,1049346.4137877377
2018-04-30,1035677.4182887092,1049417.405516353
2018-05-01,1037066.7681873406,1049488.4020477915
2018-05-02,1043161.7936656344,1049559.4033823784
2018-05-03,1045112.0211905628,1049630.4095204382
2018-05-04,1041205.6407842352,1049701.4204622968
2018-05-07,1043367.0549304911,1049772.4362082784
2018-05-08,1044414.0080989026,1049843.4567587082
2018-05-09,1048746.2505126614,1049914.4821139115
2018-05-10,1054018.1518200822,1049985.5122742131
2018-05-11,1046586.1184480805,1050056.547239938
2018-05-14,1044573.644378576,1050127.5870114118
2018-05-15,1045504.062824199,1050198.6315889591
2018-05-16,1052422.2993099703,1050269.6809729054
2018-05-17,1048778.0786116146,1050340.7351635755
2018-05-18,1050691.9215993984,1050411.7941612948
2018-05-21,1050682.6811513596,1050482.8579663883
2018-05-22,1049034.39979972,1050553.9265791816
2018-05-23,1047896.0229877331,1050625.0
2018-05-24,1051405.1412306188,1050696.0782291682
2018-05-25,1049188.6879779324,1050767.161267012
2018-05-28,1050199.256609199,1050838.2491138566
2018-05-29,1051355.4502256492,1050909.3417700275
2018-05-30,1053932.203849623,1050980.4392358498
2018-05-31,1048860.3025422022,1051051.5415116488
2018-06-01,1048829.1792699143,1051122.6485977503
2018-06-04,1048798.0559976262,1051193.7604944794
2018-06-05,1047266.3093687751,1051264.8772021618
2018-06-06,1045945.8361978558,1051335.9987211227
2018-06-07,1044348.6147694648,1051407.125051688
2018-06-08,1045818.0280171356,1051478.256194183
2018-06-11,1046697.4733761143,1051549.392148933
2018-06-12,1047474.972561804,1051620.5329162637
2018-06-13,1048012.0211905628,1051691.6784965012
2018-06-14,1047063.0350122582,1051762.8288899702
2018-06-15,1054840.7802060475,1051833.9840969972
2018-06-18,1059529.9210629216,1051905.1441179072
2018-06-19,1059498.7977906335,1051976.3089530265
2018-06-20,1062352.2996720788,1052047.4786026801
2018-06-21,1064754.1643752656,1052118.6530671942
2018-06-22,1064519.1487564,1052189.8323468945
2018-06-25,1065347.53419213,1052261.0164421066
2018-06-26,1067552.7139868848,1052332.2053531562
2018-06-27,1068242.7687121811,1052403.3990803694
2018-06-28,1071212.8053164147,1052474.5976240719
2018-06-29,1072522.0050294024,1052545.8009845894
2018-07-02,1068703.0690834683,1052617.009162248
2018-07-03,1073173.6422076607,1052688.2221573738
2018-07-04,1070418.1941529266,1052759.439970292
2018-07-05,1070226.7705093515,1052830.6626013292
2018-07-06,1070326.7705093515,1052901.890050811
2018-07-09,1064796.0245855267,1052973.1223190634
2018-07-10,1063388.106954214,1053044.3594064128
2018-07-11,1066452.8822935908,1053115.6013131847
2018-07-12,1070347.9892419868,1053186.8480397055
2018-07-13,1070397.0161553423,1053258.0995863013
2018-07-16,1071800.9546034732,1053329.3559532978
2018-07-17,1068841.5273655572,1053400.6171410214
2018-07-18,1071556.6116999644,1053471.8831497985
2018-07-19,1071634.7288757153,1053543.1539799548
2018-07-20,1074240.572762084,1053614.4296318167
2018-07-23,1068294.4873605415,1053685.7101057102
2018-07-24,1071818.1941529266,1053756.9954019617
2018-07-25,1070934.7696107663,1053828.2855208975
2018-07-26,1066700.5810237185,1053899.5804628439
2018-07-27,1071025.5291627275,1053970.8802281271
2018-07-30,1069450.1037219819,1054042.1848170734
2018-07-31,1069229.5898160115,1054113.494230009
2018-08-01,1070021.5907145967,1054184.8084672606
2018-08-02,1070332.8641725283,1054256.1275291543
2018-08-03,1075313.4286729777,1054327.4514160163
2018-08-06,1073592.2914104443,1054398.7801281735
2018-08-07,1075149.1491185087,1054470.1136659523
2018-08-08,1071534.1923557562,1054541.4520296792
2018-08-09,1071779.8173409398,1054612.7952196803
2018-08-10,1074720.7636827785,1054684.143236282
2018-08-13,1079941.6919035548,1054755.4960798118
2018-08-14,1081848.2406165884,1054826.8537505951
2018-08-15,1082713.0974260676,1054898.2162489593
2018-08-16,1084444.7572183143,1054969.5835752308
2018-08-17,1081121.1372625334,1055040.955729736
2018-08-20,1077651.7186483606,1055112.3327128016
2018-08-21,1076731.909569055,1055183.7145247546
2018-08-22,1073918.1941529266,1055255.101165921
2018-08-23,1075620.7636827785,1055326.4926366284
2018-08-24,1080528.4722723342,1055397.888937203
2018-08-27,1073781.145524168,1055469.2900679715
2018-08-28,1071987.1523507405,1055540.6960292605
2018-08-29,1073252.6732518338,1055612.1068213978
2018-08-30,1073935.4337023802,1055683.522444709
2018-08-31,1076475.715952605,1055754.9428995217
2018-09-03,1079962.9513712411,1055826.3681861626
2018-09-04,1079480.1909206947,1055897.7983049585
2018-09-05,1082457.5217996782,1055969.2332562362
2018-09-06,1082302.569529852,1056040.6730403232
2018-09-07,1082111.2327228808,1056112.1176575457
2018-09-10,1084833.611332038,1056183.5671082311
2018-09-11,1085589.1408568742,1056255.0213927063
2018-09-12,1083431.041802186,1056326.4805112984
2018-09-13,1080690.0954603474,1056397.9444643343
2018-09-14,1079333.237752283,1056469.4132521413
2018-09-17,1082733.028710526,1056540.8868750462
2018-09-18,1083029.713618958,1056612.365333376
2018-09-19,1079203.483398274,1056683.8486274586
