Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2016-05-09,1233226.0809974598,1024082.2549220128,1144976.0809974598
2016-05-10,1245874.8300765005,1024151.4900244619,1157374.8300765005
2016-05-11,1241686.4746902054,1024220.7298076871,1152936.4746902054
2016-05-12,1241793.2446772777,1024289.9742720044,1152793.2446772777
2016-05-13,1239895.750260381,1024359.2234177303,1150645.750260381
2016-05-16,1245672.1895103746,1024428.4772451817,1156172.1895103746
2016-05-17,1237961.795817629,1024497.7357546745,1148211.795817629
2016-05-18,1250266.8747893877,1024566.9989465259,1160266.8747893877
2016-05-19,1258649.0352659873,1024636.2668210518,1168399.0352659873
2016-05-20,1256321.9873498816,1024705.5393785691,1165821.9873498816
2016-05-23,1254853.9098926198,1024774.8166193946,1164103.9098926198
2016-05-24,1252526.7254369403,1024844.0985438448,1161526.7254369403
2016-05-25,1262798.8666942294,1024913.3851522359,1171548.8666942294
2016-05-26,1258896.8347942159,1024982.6764448853,1167396.8347942159
2016-05-27,1254880.2461917747,1025051.972422109,1163130.2461917747
2016-05-30,1264121.513666792,1025121.2730842243,1172121.513666792
2016-05-31,1267235.021608753,1025190.5784315476,1174985.021608753
2016-06-01,1269632.5160256498,1025259.8884643955,1177132.5160256498
2016-06-02,1269624.8658498689,1025329.2031830852,1176874.8658498689
2016-06-03,1278436.5798256772,1025398.5225879335,1185436.5798256772
2016-06-06,1265858.2772474277,1025467.8466792566,1172608.2772474277
2016-06-07,1255456.2789361493,1025537.1754573719,1161956.2789361493
2016-06-08,1251697.4770490632,1025606.5089225961,1157947.4770490632
2016-06-09,1243213.9962894006,1025675.847075246,1149213.9962894006
2016-06-10,1259986.1039579546,1025745.1899156389,1165736.1039579546
2016-06-13,1264158.88591354,1025814.5374440913,1169658.88591354
2016-06-14,1263721.68223855,1025883.8896609199,1168971.68223855
2016-06-15,1266548.8666942294,1025953.2465664425,1171548.8666942294
2016-06-16,1264708.4458191856,1026022.6081609754,1169458.4458191856
2016-06-17,1265903.4362095303,1026091.9744448358,1170403.4362095303
2016-06-20,1261858.310836163,1026161.3454183406,1166108.310836163
2016-06-21,1256009.088074033,1026230.7210818074,1160009.088074033
2016-06-22,1251620.4291329575,1026300.1014355526,1155370.4291329575
2016-06-23,1246572.9667482446,1026369.4864798936,1150072.9667482446
2016-06-24,1240666.6021744746,1026438.8762151476,1143916.6021744746
2016-06-27,1271412.2380966165,1026508.2706416316,1174412.2380966165
2016-06-28,1270316.504057137,1026577.6697596627,1173066.504057137
2016-06-29,1255304.2470361355,1026647.0735695581,1157804.2470361355
2016-06-30,1241093.886932125,1026716.4820716352,1143343.886932125
2016-07-01,1238623.6772728788,1026785.8952662112,1140623.6772728788
2016-07-04,1241708.4436345524,1026855.3131536031,1143458.4436345524
2016-07-05,1239410.0007591601,1026924.7357341285,1140910.0007591601
2016-07-06,1254263.5226063111,1026994.1630081043,1155513.5226063111
2016-07-07,1253940.8756337485,1027063.594975848,1154940.8756337485
2016-07-08,1252701.9115813414,1027133.031637677,1153451.9115813414
2016-07-11,1243731.5989712563,1027202.4729939087,1144231.5989712563
2016-07-12,1240402.282313592,1027271.9190448603,1140652.282313592
2016-07-13,1233636.8790111914,1027341.3697908492,1133636.8790111914
2016-07-14,1232598.2867833516,1027410.825232193,1132348.2867833516
2016-07-15,1224658.8479555384,1027480.2853692089,1124158.8479555384
2016-07-18,1236248.1182115937,1027549.7502022143,1135498.1182115937
2016-07-19,1236498.1182115937,1027619.2197315273,1135498.1182115937
2016-07-20,1250234.882884546,1027688.6939574648,1148984.882884546
2016-07-21,1255467.3484724772,1027758.1728803444,1153967.3484724772
2016-07-22,1259869.2438329172,1027827.6565004837,1158119.2438329172
2016-07-25,1265559.7996909837,1027897.1448182004,1163559.7996909837
2016-07-26,1266096.123177265,1027966.6378338122,1163846.123177265
2016-07-27,1259989.3867789276,1028036.1355476362,1157489.3867789276
2016-07-28,1260296.5968603545,1028105.6379599904,1157546.5968603545
