Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2024-01-26,1603380.0636035008,1173217.38877504,1012380.0636035008
2024-01-29,1604914.1815114755,1173296.7064526158,1013664.1815114755
2024-01-30,1603381.5798549175,1173376.02949262,1011881.5798549175
2024-01-31,1603382.3379806257,1173455.3578954148,1011632.3379806258
2024-02-01,1604470.7379414386,1173534.691661363,1012470.7379414386
2024-02-02,1601827.8033542843,1173614.030790827,1009577.8033542841
2024-02-05,1607297.2055375637,1173693.3752841693,1014797.2055375638
2024-02-06,1610206.025647421,1173772.725141753,1017456.025647421
2024-02-07,1607925.6083239582,1173852.08036394,1014925.6083239582
2024-02-08,1607873.5106042153,1173931.440951094,1014623.5106042152
2024-02-09,1610804.9317655347,1174010.806903577,1017304.9317655347
2024-02-12,1609823.7597470412,1174090.1782217517,1016073.7597470412
2024-02-13,1609756.4445862737,1174169.554905981,1015756.4445862737
2024-02-14,1614765.1815134564,1174248.9369566278,1020515.1815134564
2024-02-15,1612522.4926384503,1174328.324374055,1018022.4926384503
2024-02-16,1611110.7300697896,1174407.7171586251,1016360.7300697896
2024-02-19,1611209.7262319329,1174487.1153107013,1016209.7262319329
2024-02-20,1612184.850803346,1174566.5188306463,1016934.8508033458
2024-02-21,1610433.1720224554,1174645.9277188228,1014933.1720224555
2024-02-22,1610864.4306543013,1174725.3419755942,1015114.4306543013
2024-02-23,1609898.3860328023,1174804.761601323,1013898.3860328023
2024-02-26,1611016.9507435746,1174884.1865963724,1014766.9507435745
2024-02-27,1611893.9273225823,1174963.6169611055,1015393.9273225822
2024-02-28,1611871.9943527987,1175043.052695885,1015121.9943527987
2024-02-29,1613662.9178335622,1175122.4938010746,1016662.9178335622
2024-03-01,1613882.663039573,1175201.9402770363,1016632.6630395731
2024-03-04,1612538.883713358,1175281.3921241343,1015038.8837133582
2024-03-05,1612464.0948981233,1175360.8493427313,1014714.0948981233
2024-03-06,1612396.8697813856,1175440.31193319,1014396.8697813856
2024-03-07,1609210.0692546642,1175519.7798958742,1010960.0692546641
2024-03-08,1605335.8726049864,1175599.2532311473,1006835.8726049864
2024-03-11,1604332.0094910008,1175678.7319393714,1005582.0094910009
2024-03-12,1603736.0458316908,1175758.216020911,1004736.0458316908
2024-03-13,1605609.9899078652,1175837.7054761287,1006359.9899078652
2024-03-14,1605520.0736956357,1175917.2003053878,1006020.0736956357
2024-03-15,1609116.2899284493,1175996.700509052,1009366.2899284492
2024-03-18,1610733.4284318346,1176076.2060874843,1010733.4284318346
2024-03-19,1611799.2273411853,1176155.7170410482,1011549.2273411853
2024-03-20,1614481.406628213,1176235.233370107,1013981.406628213
2024-03-21,1612148.1334592989,1176314.7550750242,1011398.1334592989
2024-03-22,1615502.5814722884,1176394.2821561634,1014502.5814722884
2024-03-25,1620571.7379434197,1176473.8146138876,1019321.7379434196
2024-03-26,1618079.8071941216,1176553.3524485608,1016579.8071941218
2024-03-27,1617899.3066879841,1176632.8956605464,1016149.3066879843
2024-03-28,1620740.053511366,1176712.4442502076,1018740.053511366
2024-03-29,1621820.9798177113,1176791.9982179084,1019570.9798177113
2024-04-01,1620469.636792999,1176871.5575640122,1017969.636792999
2024-04-02,1624390.6418410474,1176951.122288883,1021640.6418410474
2024-04-03,1623734.168593759,1177030.6923928838,1020734.168593759
2024-04-04,1621370.7306748854,1177110.2678763785,1018120.7306748854
2024-04-05,1622051.231181023,1177189.8487397307,1018551.231181023
2024-04-08,1622558.0367538119,1177269.4349833047,1018808.0367538119
2024-04-09,1621697.7038232153,1177349.0266074636,1017697.7038232154
2024-04-10,1619983.8435348116,1177428.6236125713,1015733.8435348116
